epoch,train_loss,val_loss,lr,time_sec
1,0.007575595322784714,0.0024268933682998813,0.001,26.7
2,0.0021117732035413435,0.0022475465044739062,0.001,26.7
3,0.0018558947512329642,0.001674365106406516,0.001,26.4
4,0.0017531588395782323,0.0017684255283463492,0.001,26.7
5,0.0016542851986127676,0.0013944190972820666,0.001,26.8
6,0.001594903881513429,0.0019303977005620254,0.001,26.8
7,0.0015393217973405035,0.005141173793989848,0.001,27.0
8,0.0015142564850786774,0.0016651071736387994,0.001,26.7
9,0.0014287097037122766,0.0019877781027885662,0.001,26.8
10,0.00141108659997147,0.0018383576822419525,0.001,27.0
11,0.001334949838021746,0.0016174176344065927,0.001,26.7
12,0.001191533681469389,0.0012789582714586604,0.0005,26.8
13,0.001194568259252973,0.001909704544232227,0.0005,26.6
14,0.0011782085650763777,0.0010720698157290992,0.0005,26.9
15,0.0011506457533384975,0.0012147574070695555,0.0005,26.7
16,0.0011374625419311878,0.0013983436434831344,0.0005,26.8
17,0.0011307260001912809,0.0020729339485114906,0.0005,26.8
18,0.0011168306923241584,0.001650081342218486,0.0005,26.8
19,0.001095690593832511,0.0012260533711179794,0.0005,26.9
20,0.0010754501720355194,0.001346844101962316,0.0005,26.9
21,0.0010042588807439867,0.001190132360286291,0.00025,27.0
22,0.0009993350705171198,0.0011448475376131353,0.00025,27.1
23,0.0010077899870728807,0.0012017923920873066,0.00025,26.8
24,0.0009914464373957947,0.0009184697800347666,0.00025,26.9
25,0.0009936978900653927,0.00096076785303012,0.00025,26.8
26,0.0009868539875076915,0.000979446975510324,0.00025,26.9
27,0.0009683759245407683,0.0008678781731842636,0.00025,26.6
28,0.0009642309496366697,0.0011583976143314926,0.00025,26.5
29,0.0009549332938728515,0.0009348705347788796,0.00025,26.6
30,0.0009481202693453494,0.0008783248616633831,0.00025,26.6
31,0.0009513311628584883,0.0007967107715310042,0.00025,26.8
32,0.0009476249745000734,0.0008580882099109162,0.00025,26.8
33,0.0009384905479473437,0.0006702929455390073,0.00025,27.0
34,0.0009400159150419466,0.0010183637590340697,0.00025,27.1
35,0.0009297361197146624,0.0007305176032911153,0.00025,27.0
36,0.0009108516525601145,0.0011671231828090226,0.00025,27.1
37,0.0009152672541563629,0.0009066895813289607,0.00025,26.9
38,0.0009136517332222724,0.0006757309688096443,0.00025,26.9
39,0.000910160323006234,0.0007039517801207363,0.00025,26.7
40,0.0008557594832760137,0.0008538979416037116,0.000125,26.4
41,0.0008482944750220987,0.0006835815540853218,0.000125,26.2
42,0.0008544992323278437,0.0007605860644782132,0.000125,26.2
43,0.0008513749858316082,0.0008751546344931492,0.000125,26.3
