epoch,train_loss,val_loss,lr,time_sec
1,0.10729603162512948,0.01766751419215344,0.0009997535269026829,19.4
2,0.009304927626194863,0.028021123711059383,0.0009990143508499217,17.6
3,0.004931772803851904,0.04085711187539384,0.0009977832013192385,17.9
4,0.0029612184914115528,0.0363771550919603,0.0009960612933065818,17.7
5,0.002616352927781498,0.04987167979979471,0.0009938503261272714,17.7
6,0.0031986983525805557,0.019581844914740788,0.00099115248173898,17.7
7,0.0019370507813082673,0.04815743682960834,0.0009879704225884043,17.7
8,0.00153332017809869,0.04886439881011029,0.0009843072889837512,17.8
9,0.0014863177493680269,0.05064719240076653,0.000980166695995633,17.6
10,0.0016626347914541091,0.04482079737779089,0.0009755527298894294,17.7
11,0.001281105569199635,0.036843487391609975,0.0009704699440926358,17.8
