alpha,epoch,train_loss,train_seq_loss,train_anchor_loss,val_loss,val_seq_loss,val_anchor_loss,lr,time_sec
20.0,1,0.21044096427086073,0.010412366217515694,0.010001429952143762,0.07376055147974415,0.004332628229910389,0.0034713961747214893,0.0009997535269026829,19.4
20.0,2,0.03502217103512241,0.0020148384754951946,0.001650366626936608,0.0707281605102756,0.0038944703958398524,0.0033416845110471687,0.0009990143508499217,19.0
20.0,3,0.030146533014396064,0.0017688398321087544,0.0014188846562786077,0.06652466140122727,0.0038267486014135895,0.0031348956396501076,0.0009977832013192385,19.4
20.0,4,0.026200431005026285,0.0015761865846191843,0.0012312122249008657,0.06478541592839471,0.0037435478375397345,0.003052093362945944,0.0009960612933065818,19.4
20.0,5,0.024734907891028203,0.0015020545412344523,0.0011616426662583717,0.06667085651783868,0.003868286369400634,0.0031401285585238936,0.0009938503261272714,19.6
20.0,6,0.024031778785567254,0.0014666109107052668,0.0011282583891909618,0.06834229797699508,0.0039047370299429415,0.0032218780682516344,0.00099115248173898,19.6
20.0,7,0.023403969533645954,0.001380368573919464,0.0011011800461580069,0.07245308391630967,0.003288781947977692,0.0034582150966595325,0.0009879704225884043,19.3
20.0,8,0.022731032735930804,0.0010750148708794792,0.0010828008906593402,0.06576439719696707,0.0030062559809711604,0.0031379070537792706,0.0009843072889837512,19.4
20.0,9,0.022448166966056213,0.0010611441207285493,0.0010693511445797645,0.07234480395601033,0.0032833590156905244,0.0034530722486453397,0.000980166695995633,19.8
20.0,10,0.021958371743750878,0.0010393985557572867,0.0010459486537654765,0.0695136527498649,0.0031714869455367503,0.0033171083015715455,0.0009755527298894294,19.5
20.0,11,0.0217329499622186,0.001029639829096432,0.0010351655058538876,0.07556333273347031,0.0034310544625499304,0.0036066139203265925,0.0009704699440926358,19.7
20.0,12,0.021829501307832126,0.0010335546192856361,0.0010397973401734654,0.07819248239034192,0.003561439254012162,0.003731552157099012,0.0009649233547011817,19.6
20.0,13,0.021375829198708136,0.0010126331908395514,0.001018159804143346,0.07099425623891875,0.0032433461761838963,0.003387545518907768,0.0009589184355291487,19.1
20.0,14,0.021327102950845774,0.0010100387007696554,0.0010158532128955882,0.07745881009991826,0.0035167340669470426,0.0036971038059957517,0.000952461112706777,19.0
