epoch,train_loss,val_loss,lr,time_sec
1,0.04547060391483589,0.0031648621810203854,0.0009997535269026829,8.1
2,0.002321415154699188,0.003065954857912073,0.0009990143508499217,7.0
3,0.00196521251107184,0.0032988058081444135,0.0009977832013192385,7.2
4,0.0018804278157543964,0.00348605135854512,0.0009960612933065818,6.9
5,0.0018382807768200738,0.003427725710548173,0.0009938503261272714,7.1
6,0.0018187107970544065,0.003149692098111003,0.00099115248173898,7.3
7,0.0018076960912320572,0.0032654525004661684,0.0009879704225884043,7.0
8,0.0017923540323793602,0.003211372305466942,0.0009843072889837512,7.3
9,0.0017605050801275633,0.00322768635886221,0.000980166695995633,7.1
10,0.001763171750682,0.003446945339284015,0.0009755527298894294,7.0
11,0.001737180101022554,0.0032404725555332994,0.0009704699440926358,7.3
12,0.0017375429048955154,0.0031512409956083,0.0009649233547011817,7.1
