epoch,train_loss,val_loss,lr,time_sec
1,0.13790506731050137,0.08806256117655877,0.0009997535269026829,10.7
2,0.06883155490056826,0.04538043630012172,0.0009990143508499217,8.5
3,0.034792323071414076,0.029095393209222782,0.0009977832013192385,8.7
4,0.012059402669994878,0.0049811488790239425,0.0009960612933065818,8.9
5,0.004491671410878786,0.00696293367543555,0.0009938503261272714,9.0
6,0.003043370381093178,0.0030660782296686095,0.00099115248173898,9.0
7,0.003348390390433801,0.005681145107720364,0.0009879704225884043,8.7
8,0.002230847030519866,0.0036980019770240648,0.0009843072889837512,8.5
9,0.0019271043920292496,0.0052671407589669084,0.000980166695995633,8.8
10,0.0017961660722413887,0.0028834589295698566,0.0009755527298894294,9.0
11,0.0018102428868401032,0.0036078161399618306,0.0009704699440926358,8.9
12,0.0017801379764046615,0.0031065874661200064,0.0009649233547011817,8.9
13,0.0017653658742813442,0.0025933007762316573,0.0009589184355291487,8.8
14,0.0017772213860343283,0.003873589504671164,0.000952461112706777,8.6
15,0.0015638614310703885,0.0026733424592555125,0.00094555775883209,9.0
16,0.0017471942201388092,0.004061434460070698,0.0009382151866819101,8.7
17,0.0016186436106904577,0.002965114697717388,0.0009304406424884702,8.6
18,0.0015496581483883066,0.003016072754225535,0.000922241798788257,8.9
19,0.0015732922094265143,0.0035173251192045815,0.0009136267468501441,8.7
20,0.0016037503873798042,0.0027044916075302603,0.0009046039886902867,8.5
21,0.001480011179153688,0.00351000248198769,0.0008951824286816578,8.9
22,0.0014979216801480223,0.0030573753573798,0.0008853713647665072,8.5
23,0.001525742765993644,0.0038099730182364782,0.000875180479280415,8.6
