epoch,train_loss,val_loss,lr,time_sec
1,0.00898139010846185,0.0038222322151302657,0.0009997535269026829,20.6
2,0.0024432660593913915,0.003343615975686686,0.0009990143508499217,22.8
3,0.0018666380596979975,0.003777746395690941,0.0009977832013192385,27.1
4,0.001640261432233577,0.0033335457238690843,0.0009960612933065818,27.7
5,0.0015406171076345998,0.003511721045873991,0.0009938503261272714,27.5
6,0.0014593274681828916,0.0038161119890262737,0.00099115248173898,26.6
7,0.001398525823904679,0.004569775663804513,0.0009879704225884043,22.8
8,0.0013732818300083566,0.005218648163792479,0.0009843072889837512,20.6
9,0.0013735392175686474,0.004850084716460341,0.000980166695995633,19.5
10,0.0013006483771814369,0.005342241954844831,0.0009755527298894294,19.6
11,0.0012968429715002482,0.006340507452903771,0.0009704699440926358,19.6
12,0.0012692726569441266,0.008198635317967273,0.0009649233547011817,21.0
13,0.0013191774897934056,0.003718452978880142,0.0009589184355291487,20.6
14,0.001273711684356945,0.0049346111037711455,0.000952461112706777,19.6
