alpha,epoch,train_loss,train_seq_loss,train_anchor_loss,val_loss,val_seq_loss,val_anchor_loss,lr,time_sec
1.0,1,0.08038941087523618,0.03967124175501223,0.040718169344099574,0.0064585231209887154,0.0031709637009276156,0.0032875594154168713,0.0009997535269026829,10.9
1.0,2,0.004406480255942696,0.0021709723454804565,0.0022355078992684586,0.0061085288663038076,0.0029812944392572116,0.0031272344203898683,0.0009990143508499217,9.1
1.0,3,0.003861376451543317,0.0019000455146082318,0.0019613309257413046,0.006609497437045533,0.0032153120125084124,0.0033941853852159877,0.0009977832013192385,9.0
1.0,4,0.003718495471940304,0.0018302838874753946,0.001888211589688674,0.007007334757214809,0.0034031036386992087,0.003604231101951185,0.0009960612933065818,8.9
1.0,5,0.0036545886571566835,0.0017998356466145755,0.0018547530023333353,0.006956501600104682,0.003379707072800808,0.0035767946299413178,0.0009938503261272714,9.1
1.0,6,0.0036296298703513085,0.0017882095760283752,0.001841420292830429,0.006310755786971447,0.003077232726122639,0.0032335231052785913,0.00099115248173898,8.7
1.0,7,0.0036152658837799653,0.0017811309707422669,0.0018341349197539668,0.006724248514845076,0.0032702209571923843,0.0034540275294777066,0.0009879704225884043,8.9
1.0,8,0.0035885652939144233,0.001768393403229614,0.0018201718906848095,0.006503586638149151,0.0031666456437805927,0.003336941015267586,0.0009843072889837512,8.8
1.0,9,0.0035393738937086593,0.001743663421784265,0.0017957104764019067,0.006531350336290222,0.0031790653092878315,0.003352285009509131,0.000980166695995633,9.0
1.0,10,0.003553394704328802,0.0017512029981634652,0.0018021917136278576,0.006978078373148047,0.0033892435540303963,0.003588834871442622,0.0009755527298894294,9.0
1.0,11,0.0034987326183069786,0.0017235864465757727,0.0017751461724774577,0.006599975740252202,0.003210859124281226,0.003389116653434417,0.0009704699440926358,8.3
1.0,12,0.003501876063334445,0.0017256065203139607,0.0017762695370504681,0.0064523331594945705,0.0031416711844553416,0.0033106620347949658,0.0009649233547011817,8.4
