epoch,train_loss,val_loss,lr,time_sec
1,0.01193345754933483,0.003930368685277327,0.0009997535269026829,33.7
2,0.004345461602969845,0.0036253507076418664,0.0009990143508499217,33.8
3,0.003827491710143914,0.0028144379423544956,0.0009977832013192385,34.7
4,0.0035357056540896658,0.0029022088748950573,0.0009960612933065818,35.7
5,0.003397148994535401,0.0026908460253749085,0.0009938503261272714,35.2
6,0.0032961516105872277,0.002877501996077957,0.00099115248173898,35.6
7,0.00321049262639498,0.002672747884968306,0.0009879704225884043,36.2
8,0.0031519576093762534,0.002632272959586275,0.0009843072889837512,35.7
9,0.003134439990390092,0.002631665247794114,0.000980166695995633,35.3
10,0.0030768492445047316,0.002950163916631771,0.0009755527298894294,35.4
11,0.003076348824172535,0.002665214509596064,0.0009704699440926358,35.1
12,0.0030148370794697917,0.002532917705883103,0.0009649233547011817,35.1
13,0.003011279512656393,0.002601690309265078,0.0009589184355291487,34.9
14,0.003006542364570808,0.0027435435506710996,0.000952461112706777,35.4
15,0.0030136143761481365,0.0025101035721904323,0.00094555775883209,35.4
16,0.00293868968819643,0.0023621051461139523,0.0009382151866819101,35.2
17,0.002944298682722275,0.002527615632722948,0.0009304406424884702,35.6
18,0.0029066893727179954,0.0027540041946022857,0.000922241798788257,35.2
19,0.0028886399299886028,0.0024055266697938682,0.0009136267468501441,36.0
20,0.002870450636928345,0.002421818625820875,0.0009046039886902867,36.0
21,0.0028685915923387104,0.0024149189344329484,0.0008951824286816578,35.4
22,0.0028558300374160435,0.0023617873957846314,0.0008853713647665072,35.7
23,0.002822779261132146,0.0023261549094141546,0.000875180479280415,35.7
24,0.0027983783602158166,0.002414420343649743,0.0008646198293969955,35.1
25,0.002808762717290552,0.0023246376531460555,0.0008536998372026809,40.1
26,0.0027598968363826636,0.002550731889145523,0.0008424312794113805,35.8
27,0.0027627179700754245,0.0024896974728934847,0.0008308252767291645,35.6
28,0.0027287088311126143,0.0024005562680196654,0.0008188932828794709,36.4
29,0.0027224833498007387,0.0023608921522033847,0.0008066470732996622,35.5
30,0.00271199994218572,0.0024708137921565635,0.0007940987335200908,35.1
31,0.00270319106919062,0.00234472940197024,0.0007812606472371397,35.9
32,0.0026887662624849565,0.0024781662551421587,0.0007681454840920092,35.1
33,0.0026688084713872764,0.0024552825198043138,0.000754766187167311,35.8
34,0.002665242452367947,0.002549361218453586,0.0007411359602138073,36.1
35,0.002646130999526033,0.002348703582439074,0.0007272682546199041,36.1
