epoch,train_loss,val_loss,lr,time_sec
1,0.06358725175733207,0.006138181856261905,0.0009997535269026829,29.8
2,0.004831765705792161,0.009370938221267848,0.0009990143508499217,29.6
3,0.004125830927537149,0.019742518875070593,0.0009977832013192385,29.5
4,0.00388115594713864,0.0037595711698734454,0.0009960612933065818,29.5
5,0.004049005770039829,0.003881669209063561,0.0009938503261272714,29.4
6,0.003034492123829709,0.002637654193677008,0.00099115248173898,29.3
7,0.0029420805248347197,0.0023798180721893336,0.0009879704225884043,28.9
8,0.002896238856967055,0.0025915177459616893,0.0009843072889837512,28.3
9,0.002842413995554066,0.002420226491680792,0.000980166695995633,28.8
10,0.003824333178012499,0.004477212759824893,0.0009755527298894294,29.1
11,0.0028349105650468357,0.0027679661989995193,0.0009704699440926358,30.3
12,0.002773054226077851,0.002761386553174816,0.0009649233547011817,30.2
13,0.0026948732224160005,0.003081507595859214,0.0009589184355291487,30.1
14,0.0027494516787603014,0.0026038269606942777,0.000952461112706777,30.1
15,0.002695858821366587,0.0022804538172997786,0.00094555775883209,30.0
16,0.0026958882974992904,0.0024543752806494012,0.0009382151866819101,30.1
17,0.0025915038740177724,0.0034470183636585716,0.0009304406424884702,30.0
18,0.003079916150974376,0.0022153753908986055,0.000922241798788257,30.1
19,0.0025378089733028714,0.0021989782167524522,0.0009136267468501441,30.0
20,0.002494492275903437,0.002189672367504417,0.0009046039886902867,29.9
21,0.00286743525482182,0.002274880982109938,0.0008951824286816578,29.1
22,0.0025125747303139756,0.002105263635299211,0.0008853713647665072,29.1
23,0.0024487570796748502,0.002442582953128956,0.000875180479280415,29.3
24,0.0024091344490774313,0.002432338988827806,0.0008646198293969955,30.0
25,0.002351904705593169,0.0019680479288746774,0.0008536998372026809,30.1
26,0.0023027981326056574,0.002021863950589746,0.0008424312794113805,30.0
27,0.0022899813019495166,0.0018886715147759373,0.0008308252767291645,29.9
28,0.0022334382062711355,0.0025231502156450665,0.0008188932828794709,29.7
29,0.002207117810219454,0.0016445602175901347,0.0008066470732996622,29.9
30,0.0021769970193559716,0.0017323451993433991,0.0007940987335200908,29.9
31,0.0021335864804349477,0.0018880811636666874,0.0007812606472371397,29.9
32,0.0020985941156176488,0.002014494597626088,0.0007681454840920092,29.8
33,0.002096752871611071,0.001815517267625017,0.000754766187167311,29.8
34,0.0020765600379786223,0.001868742669599173,0.0007411359602138073,29.9
35,0.0020248218826562554,0.0019235197136037061,0.0007272682546199041,29.7
36,0.0020182699338508795,0.0017635918100660836,0.0007131767561367543,29.9
37,0.0019728261229049948,0.0017044630029969003,0.0006988753713720733,30.0
38,0.001957020504617846,0.0017414626239439133,0.0006843782140659972,30.1
39,0.00193937218373085,0.0016866854758435775,0.0006696995911625235,29.9
