model,scenario,temp_condition,n_windows,params,mae_pct,rmse_pct,maxe_pct,pvr_discharge_eps0,pvr_charge_eps0,pvr_rest_eps0,pvr_total_eps0,pvr_discharge_eps0.0005,pvr_discharge_eps0.001,pvr_discharge_eps0.0025,pvr_discharge_eps0.005,pvr_discharge_eps0.01,delta_soc_mae,pred_true_delta_ratio_discharge
null_ocv_coulomb[oracle_qtemp],scenario_A,n10degC,7387,0,0.0195,0.0288,0.256,0.0,0.0,17.1154,1.8584,0.0,0.0,0.0,0.0,0.0,4.737e-05,1.0195
null_ocv_coulomb[oracle_qtemp],scenario_A,n20degC,5379,0,0.0186,0.027,0.2779,0.0,0.0,12.7789,1.8078,0.0,0.0,0.0,0.0,0.0,4.237e-05,1.0206
hard_coulomb_tcn,scenario_A,ALL,18914,208546,8.8299,11.4592,46.7303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.026e-04,0.8462
hard_coulomb_tcn,scenario_A,40degC,6148,208546,4.8205,6.3663,26.5447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.021e-04,0.9522
hard_coulomb_tcn,scenario_A,n10degC,7387,208546,8.7044,10.6246,39.4466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.110e-04,0.7863
hard_coulomb_tcn,scenario_A,n20degC,5379,208546,13.5847,16.1365,46.7303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.159e-05,0.8262
vanilla_lstm,scenario_B,ALL,8010,53569,5.0326,7.2806,48.7994,41.0552,70.8874,99.9911,69.7145,20.9023,12.8892,5.5203,2.7071,1.2499,3.341e-03,16.3031
vanilla_lstm,scenario_B,0degC,1395,53569,3.5635,5.3243,43.0655,40.5802,73.4004,99.9948,69.5,23.689,14.4832,5.3187,2.2808,1.0068,3.585e-03,15.6709
vanilla_lstm,scenario_B,10degC,1520,53569,4.1073,5.2116,38.2876,32.1461,86.2396,99.9943,63.3028,11.8797,5.9664,2.2803,1.433,1.0443,3.418e-03,16.8896
vanilla_lstm,scenario_B,25degC,1712,53569,3.5357,4.3732,30.7604,39.727,71.2024,99.9839,65.83,14.2467,6.7397,1.7927,0.9775,0.5909,3.062e-03,14.167
vanilla_lstm,scenario_B,40degC,1079,53569,1.9236,3.8223,36.5014,49.8776,70.7097,99.9778,71.6002,20.2682,9.2015,2.9785,1.758,1.1248,2.818e-03,15.862
vanilla_lstm,scenario_B,n10degC,1342,53569,9.923,12.0538,44.6502,44.8283,56.8712,99.9953,72.4714,32.6822,24.6914,12.0486,5.0899,1.9903,3.745e-03,17.7096
vanilla_lstm,scenario_B,n20degC,962,53569,7.9543,10.2091,48.7994,47.1656,50.5698,99.9967,81.1084,38.8292,31.8525,18.8551,9.8703,3.2456,3.381e-03,21.1865
vanilla_lstm+posthoc_clamp,scenario_B,ALL,8010,53569,23.4528,24.6723,48.7994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.316e-05,0.6004
vanilla_lstm+posthoc_clamp,scenario_B,0degC,1395,53569,26.4769,27.4226,44.1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.196e-05,0.609
vanilla_lstm+posthoc_clamp,scenario_B,10degC,1520,53569,24.355,25.517,38.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.161e-05,0.6407
vanilla_lstm+posthoc_clamp,scenario_B,25degC,1712,53569,22.3171,23.0702,30.7604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.085e-05,0.6552
vanilla_lstm+posthoc_clamp,scenario_B,40degC,1079,53569,21.0178,21.9878,37.5243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.713e-05,0.536
vanilla_lstm+posthoc_clamp,scenario_B,n10degC,1342,53569,26.3177,27.7055,44.6502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.678e-05,0.559
vanilla_lstm+posthoc_clamp,scenario_B,n20degC,962,53569,18.3976,19.7215,48.7994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.776e-05,0.4854
hard_coulomb_lstm,scenario_B,ALL,8010,54626,7.0079,8.5667,34.9985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.172e-05,0.3807
hard_coulomb_lstm,scenario_B,0degC,1395,54626,8.8682,9.8809,27.8331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024e-04,0.3554
hard_coulomb_lstm,scenario_B,10degC,1520,54626,7.4183,8.4812,18.6373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.038e-04,0.3225
hard_coulomb_lstm,scenario_B,25degC,1712,54626,4.9661,5.6848,12.1408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.077e-04,0.3509
hard_coulomb_lstm,scenario_B,40degC,1079,54626,4.5576,5.8787,17.7155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.703e-05,0.3297
hard_coulomb_lstm,scenario_B,n10degC,1342,54626,9.4329,11.4957,26.2297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.205e-05,0.4042
hard_coulomb_lstm,scenario_B,n20degC,962,54626,6.6614,8.6718,34.9985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.613e-05,0.7475
