dataset_version,label_mode,decimation_mode,scenario,model,anchor_strategy,inference_policy,eta,gamma_mode,seeds,baseline_type,rmse_pct,rmse_std,maxe_pct,rmse_n20,rmse_40,pvr_disch_eps0,source
v5c,ohmic_corrected,mean_per_second,scenario_A,vanilla+posthoc_clamp,,windowed,1.5,nominal,42,deterministic,25.0261,,46.8818,23.1923,26.7453,0.0,baselines/deterministic_baselines_v5c.json
v5c,ohmic_corrected,mean_per_second,scenario_B,null[ocv25_qnom],,windowed,1.5,nominal,n/a,deterministic,7.5278,,94.7159,14.319,2.6213,0.0,baselines/deterministic_baselines_v5c.json
v5c,ohmic_corrected,mean_per_second,scenario_B,null[ocv25_qtemp],,windowed,1.5,nominal,n/a,deterministic,7.5757,,94.6823,14.4014,2.6524,0.0,baselines/deterministic_baselines_v5c.json
v5c,ohmic_corrected,mean_per_second,scenario_B,null[oracle_qtemp],,windowed,1.5,nominal,n/a,deterministic,0.0213,,0.422,0.0148,0.021,0.0,baselines/deterministic_baselines_v5c.json
v5c,ohmic_corrected,mean_per_second,scenario_B,vanilla+posthoc_clamp,,windowed,1.5,nominal,42,deterministic,30.0747,,50.638,20.9058,27.0318,0.0,baselines/deterministic_baselines_v5c.json
v5c,ohmic_corrected,mean_per_second,scenario_A,hard_coulomb_lstm,first,windowed_independent,1.5,nominal,42,,11.0486,,46.1873,16.7544,4.2214,0.0,recursive_inference/recursive_policy_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,hard_coulomb_lstm,first,carried_anchor,1.5,nominal,42,,11.7799,,29.6282,11.1109,8.5837,0.0,recursive_inference/recursive_policy_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,hard_coulomb_lstm,first,hybrid_temperature_load_gate,1.5,nominal,42,,11.147,,29.6282,11.1109,5.3887,0.0,recursive_inference/recursive_policy_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,HC_windowed,,windowed,1.5,nominal,n/a,classical_recursive,11.0486,,46.1873,16.7544,4.2214,0.0,ekf_ecm/continuous_ekf_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,HC_carried,,windowed,1.5,nominal,n/a,classical_recursive,11.7799,,29.6282,11.1109,8.5837,0.0,ekf_ecm/continuous_ekf_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,HC_hybrid_gate,,windowed,1.5,nominal,n/a,classical_recursive,11.147,,29.6282,11.1109,5.3887,0.0,ekf_ecm/continuous_ekf_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,EKF_Rint_cont[R=0.0001],,continuous,1.5,nominal,n/a,classical_recursive,36.9755,,86.7036,35.9334,39.7894,39.615,ekf_ecm/continuous_ekf_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,EKF_1RC_cont[R=0.0001],,continuous,1.5,nominal,n/a,classical_recursive,39.1161,,85.6258,36.0612,39.6158,33.6695,ekf_ecm/continuous_ekf_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,EKF_Rint_cont[R=0.0009],,continuous,1.5,nominal,n/a,classical_recursive,22.7623,,80.3196,27.1825,25.2384,23.8356,ekf_ecm/continuous_ekf_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,EKF_1RC_cont[R=0.0009],,continuous,1.5,nominal,n/a,classical_recursive,27.4549,,80.3116,32.4044,29.3301,22.0908,ekf_ecm/continuous_ekf_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,EKF_Rint_cont[R=0.01],,continuous,1.5,nominal,n/a,classical_recursive,7.3647,,26.4677,8.0919,7.0237,4.9444,ekf_ecm/continuous_ekf_results.json
v5c,ohmic_corrected,mean_per_second,scenario_A,EKF_1RC_cont[R=0.01],,continuous,1.5,nominal,n/a,classical_recursive,6.8485,,21.1546,5.7709,8.2472,5.4755,ekf_ecm/continuous_ekf_results.json
